tfidf,macro,micro,semantic,mse,mae,f1,accuracy
0.0,0.0,0.0,1.0,0.28228529135760067,0.3559861952711715,0.3071197925672384,0.45134146341463416
0.0,0.0,1.0,0.0,0.031163147768377697,0.11972850208791978,0.5435141526208096,0.5835365853658537
0.0,0.0,1.0,1.0,0.5674185446447659,0.512748455783166,0.5650525553692067,0.5985365853658535
0.0,1.0,0.0,0.0,0.02183966280959012,0.09844945221824772,0.5881137524203097,0.6009146341463414
0.0,1.0,0.0,1.0,0.40570389596847417,0.4340438459823498,0.6049678120366662,0.6159146341463415
0.0,1.0,1.0,0.0,0.023445000022661328,0.09915255815069904,0.6282307601543133,0.6432926829268293
0.0,1.0,1.0,1.0,7.220643919627039,1.6564232315154261,0.6507163701090791,0.6631707317073171
1.0,0.0,0.0,0.0,0.02037052727945651,0.08261139352531371,0.5929708872574121,0.6110975609756097
1.0,0.0,0.0,1.0,0.02038297423063156,0.08257624841380508,0.5907555212562021,0.6085975609756098
1.0,0.0,1.0,0.0,0.019921340978313253,0.08514684164802686,0.625773674445539,0.6484756097560975
1.0,0.0,1.0,1.0,0.019923919004828847,0.08495497694457,0.6201647695119592,0.6434756097560975
1.0,1.0,0.0,0.0,0.020173848277205947,0.08797465822964465,0.616017264802383,0.6259146341463414
1.0,1.0,0.0,1.0,0.020130621334982415,0.08803555869365551,0.6128996177435594,0.6234146341463414
1.0,1.0,1.0,0.0,0.0213186607614416,0.0910649793027723,0.6560249741779935,0.668170731707317
1.0,1.0,1.0,1.0,0.021269515293016024,0.09093293017245663,0.6560249741779935,0.668170731707317
